Region,Distance,Category,MajorEvent,GroundCondition,Stick,HorseName,StartingStall,Weight,JockeyName,ChampionshipType,OwnerName,TOP1,TOP3,TOP5,EdadYears,FAVORITE,TrackHandedness_Left-Handed,TrackHandedness_Right-Handed,RaceCriteria_JUMP,Seasons_Spring,Seasons_Summer,Seasons_Winter,Schedule_Midday,Schedule_Night
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Sonny Liston (IRE),12,128,Tom Marquand,FLAT,Charles Barrington Hills,0,0,0,3.3448667666002723,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Grand Alliance (IRE),5,128,Daniel Tudhope,JUMP,Charles Henry Fellowes,0,0,0,3.180592346180962,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Desert Crown (GB),2,128,Richard Kingscote,FLAT,Michael Ronald Stoute,1,1,1,3.2599916493836285,True,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Hoo Ya Mal (GB),6,128,David Probert,FLAT,Andrew Matthews Balding,0,1,1,3.136785834069146,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Grand Alliance (IRE),5,128,Daniel Tudhope,FLAT,Charles Henry Fellowes,0,0,0,3.180592346180962,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,El Habeeb (IRE),3,128,John Egan,FLAT,James Stanley Moore,0,0,0,3.20249560223687,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Walk of Stars (GB),15,128,James Doyle,FLAT,Charles Edward James Appleby,0,0,0,3.1860681601949388,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Nations Pride (IRE),9,128,William Buick,FLAT,Charles Edward James Appleby,0,0,0,3.103930949985284,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Nahanni (GB),8,128,Adam Kirby,FLAT,Charles Edward James Appleby,0,0,0,3.325701417551353,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,West Wind Blows (IRE),17,128,Jack Mitchell,FLAT,Simon & Ed Crisford & E. Crisford,0,0,0,3.1614269971320423,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Westover (GB),16,128,Rob Hornby,FLAT,Ralph Michael Beckett,0,1,1,3.114882578013238,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Royal Patronage (FR),11,128,Jason Hart,FLAT,Charlie &. Mark Johnston,0,0,0,3.1449995550901115,False,1,0,0,1,0,0,0,0
SOUTH,2646,-100,1.0,5.188575956205431,7.177652675193659,Masekela (IRE),7,128,Andrea Atzeni,FLAT,Andrew Matthews Balding,0,0,1,3.1614269971320423,False,1,0,0,1,0,0,0,0
SOUTH,2631,-100,1.0,3.0,7.177652675193659,Emily Upjohn (GB),6,121,Frankie Dettori,FLAT,John &. Thady Gosden & T. Gosden,0,0,0,3.377617077847062,False,0,1,0,0,1,0,0,0
SOUTH,2631,-100,1.0,3.0,7.177652675193659,Mishriff (IRE),2,135,James Doyle,FLAT,John &. Thady Gosden & T. Gosden,0,1,1,5.310579424780949,True,0,1,0,0,1,0,0,0
SOUTH,2631,-100,1.0,3.0,7.177652675193659,Pyledriver (GB),3,135,P. J. McDonald,FLAT,William Muir & C. Grassick,1,1,1,5.359861750906742,False,0,1,0,0,1,0,0,0
SOUTH,2192,-100,1.0,3.0,7.177652675193659,Bay Bridge (GB),1,128,Ryan Moore,FLAT,Michael Ronald Stoute,0,1,1,4.207212407586132,True,0,1,0,1,0,0,0,0
SOUTH,2192,-100,1.0,3.0,7.177652675193659,Lord North (IRE),2,128,Frankie Dettori,FLAT,John &. Thady Gosden & T. Gosden,0,0,1,6.348255687051145,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Garrus (IRE),7,131,Ryan Moore,JUMP,Charles Barrington Hills,0,0,0,6.397614066149354,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Minzaal (IRE),16,131,Jim Crowley,FLAT,Owen James Burrows,0,0,0,4.352397531928939,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Emaraaty Ana (GB),6,131,Andrea Atzeni,FLAT,Kevin Anthony Ryan,0,0,0,6.107395923408572,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Kinross (GB),15,131,Frankie Dettori,FLAT,Ralph Michael Beckett,0,0,0,5.119011493885721,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Highfield Princess (FR),23,128,Jason Hart,FLAT,John Joseph Quinn,0,0,0,5.110797772864756,True,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Garrus (IRE),7,131,Ryan Moore,FLAT,Charles Barrington Hills,0,0,0,6.397614066149354,False,0,1,0,1,0,0,0,0
